source,target
404.157975,364.126696
287.186861,316.176996
276.145694,316.176996
357.167186,316.176996
303.163892,348.149036
376.143966,348.149036
347.117395,348.149036
433.112383,401.122567
361.091246,401.122567
380.155476,395.166328
315.163915,303.163892
303.20026,303.163892
261.116844,303.163892
289.148219,303.163892
273.116934,303.163892
305.143061,303.163892
317.14314,303.163892
347.153652,303.163892
381.190077,347.184596
423.120185,387.143506
319.176743,321.192451
345.055583,311.050083
270.059869,311.050083
403.090379,375.09543
389.111157,375.09543
433.100965,375.09543
405.10601,375.09543
377.111115,375.09543
405.142411,375.09543
322.050768,362.082109
381.076712,362.082109
376.126797,361.115877
349.115913,361.115877
393.10568,361.115877
335.100163,361.115877
395.076899,361.115877
380.110521,361.115877
360.084323,361.115877
348.084197,361.115877
377.10704,337.075728
311.060038,337.075728
366.065803,337.075728
385.06046,337.075728
307.02869,337.075728
286.119934,284.14073
254.093718,284.14073
339.091116,320.096505
286.108777,320.096505
318.080755,320.096505
350.07083,352.086563
382.097163,352.086563
400.071226,352.086563
310.076002,352.086563
326.07089,352.086563
339.054858,352.086563
354.06576,352.086563
366.065803,352.086563
381.076712,352.086563
291.097835,325.085547
297.079425,325.085547
309.080484,339.091116
341.106813,339.091116
381.10173,339.091116
379.122398,339.091116
397.096622,339.091116
297.044146,339.091116
323.113885,339.091116
373.096639,339.091116
334.177594,304.166989
320.161917,304.166989
262.120001,304.166989
274.11999,304.166989
305.151016,304.166989
362.172535,304.166989
289.155928,260.165826
251.165545,260.165826
290.13999,260.165826
276.160715,260.165826
347.12715,345.111481
408.153193,399.15286
411.152844,399.15286
398.121253,399.15286
291.171551,306.182404
306.146032,306.182404
325.176954,306.182404
380.155476,421.145706
451.151283,436.140407
310.20283,296.187094
308.187048,296.187094
294.171389,296.187094
312.182007,296.187094
256.155795,296.187094
328.176944,296.187094
337.177256,296.187094
344.171753,296.187094
362.147584,376.126797
390.142474,376.126797
378.175879,376.160222
374.181069,376.160222
361.150613,413.12217
431.133245,445.112447
395.138569,443.123299
409.117829,443.123299
289.148219,315.163915
273.116934,315.163915
341.179612,315.163915
301.148244,315.163915
317.14314,315.163915
330.192471,358.198562
390.142474,362.147584
349.115913,362.147584
321.157409,362.147584
362.111213,362.147584
301.202411,330.192471
358.223756,330.192471
302.161218,330.192471
317.1608,330.192471
331.176515,330.192471
371.182656,330.192471
373.091114,415.138163
345.192232,301.202411
329.197263,301.202411
454.187785,440.172039
468.178102,440.172039
537.12657,505.154456
363.179893,377.195639
375.10671,417.153726
321.210896,303.20026
333.192389,303.218171
293.064632,279.048929
295.080394,295.043965
310.083751,340.094307
356.089218,340.094307
326.078646,340.094307
372.08412,340.094307
404.056251,340.094307
340.057869,340.094307
338.11509,340.094307
313.065841,311.08669
323.086649,311.08669
313.118582,311.102903
347.079567,311.102903
389.111157,403.090379
433.100965,403.090379
403.126825,403.090379
351.118801,403.090379
347.079567,313.118582
328.08192,313.118582
301.118546,313.118582
433.100965,389.111157
403.126825,389.111157
405.10601,389.111157
377.111115,389.111157
431.121782,389.111157
258.150251,270.150212
312.160823,270.150212
300.160856,270.150212
286.145086,270.150212
299.140294,270.150212
350.172601,316.167081
315.135492,316.167081
332.162311,396.124196
396.087787,396.124196
444.108864,396.124196
415.118772,396.124196
393.112738,384.112487
344.081214,384.112487
402.123043,384.112487
348.193117,318.182469
290.151145,318.182469
348.156622,318.182469
290.176315,354.138229
386.128003,354.138229
355.122278,354.138229
323.136397,365.183403
393.178352,365.183403
395.193993,365.183403
367.162595,365.183403
337.177256,365.183403
349.206079,381.178148
419.119943,437.130499
469.120295,437.130499
321.182494,320.198505
378.203814,336.193228
327.192929,336.193228
337.177256,336.193228
294.146219,336.193228
380.183013,336.193228
323.161528,336.193228
310.20283,292.192227
294.171389,292.192227
350.197769,292.192227
262.145245,292.192227
336.181991,292.192227
362.111213,404.121778
406.137508,404.121778
395.121471,404.121778
465.2086,435.161648
417.195593,435.161648
417.151088,435.161648
353.208894,323.198274
352.188422,323.198274
368.183343,323.198274
433.182347,403.171769
403.13532,403.171769
354.167535,367.19923
340.213431,310.20283
368.208372,310.20283
312.182007,310.20283
338.197778,310.20283
280.155802,310.20283
358.187449,326.197623
335.197958,326.197623
352.213361,326.197623
308.187048,326.197623
286.166296,326.197623
345.192232,326.197623
341.160962,326.197623
355.187699,326.197623
311.186692,326.197623
362.111213,390.142474
316.140401,358.187449
358.151008,358.187449
344.171753,358.187449
343.187962,341.208791
356.208475,328.213601
422.16885,408.153193
379.163135,408.153193
406.137508,408.153193
395.121471,408.153193
302.064972,293.064632
408.120948,368.08968
387.084285,368.08968
382.068856,368.08968
398.063841,368.08968
402.076998,386.082109
361.086762,402.076998
338.11509,402.076998
390.065782,342.081108
328.065415,342.081108
323.123106,309.107436
323.086649,309.107436
339.08165,309.107436
434.132535,433.100965
431.121782,433.100965
405.094862,433.100965
418.090049,433.100965
378.076861,404.092521
370.104796,404.092521
298.15681,307.157115
405.10601,403.126825
377.111115,403.126825
362.13661,403.126825
420.076605,379.086399
353.070732,379.086399
349.039414,379.086399
280.109222,310.156202
327.170572,313.154879
341.160962,313.154879
346.178005,328.167414
298.15681,328.167414
312.172562,328.167414
356.162312,328.167414
342.146629,328.167414
420.130749,380.09945
414.104926,380.09945
408.094326,380.09945
422.11002,380.09945
364.086099,364.122534
378.101686,364.122534
355.122278,364.122534
330.134798,364.122534
379.133646,380.117661
366.138467,380.117661
408.112555,380.117661
300.160856,380.117661
338.070706,380.117661
346.130007,380.117661
425.102795,380.117661
438.123201,380.117661
353.117957,379.133646
347.161578,379.133646
426.116387,439.148102
381.10173,366.138467
334.166386,366.138467
451.2205,409.173543
423.18926,409.173543
351.168071,409.173543
379.126545,409.173543
428.168117,409.173543
368.183343,409.173543
396.141797,409.173543
379.158847,337.148209
323.168993,337.148209
365.143104,337.148209
308.161863,348.193117
320.186997,348.193117
335.161411,348.193117
482.077372,512.124414
480.152361,512.124414
482.113844,512.124414
323.168993,368.154054
334.166386,368.154054
336.181991,368.154054
401.157043,400.125437
414.141164,400.125437
370.078392,400.125437
372.094178,400.125437
366.119931,400.125437
368.135647,400.125437
440.156784,400.125437
434.11311,400.125437
428.131571,400.125437
393.203481,335.197958
309.182261,335.197958
293.150942,335.197958
380.183013,335.197958
334.166386,335.197958
336.181991,335.197958
307.19186,335.197958
379.199173,363.204285
364.188238,363.204285
350.172601,363.204285
378.167556,363.204285
393.178352,379.199173
397.209734,379.199173
364.188238,379.199173
398.193799,379.199173
337.152167,379.199173
349.152204,379.199173
378.167556,379.199173
363.193324,322.203111
370.187806,322.203111
366.19288,322.203111
436.148198,434.132535
405.142411,434.132535
403.13532,433.182347
394.199048,353.208894
401.193549,353.208894
368.172187,353.208894
334.202679,293.212439
291.196776,293.212439
335.223027,293.212439
279.233249,293.212439
323.186631,293.212439
373.169263,293.212439
323.234213,324.218249
358.223756,324.218249
323.186631,324.218249
368.208372,340.213431
338.197778,340.213431
384.203224,340.213431
342.229164,340.213431
339.229462,340.213431
327.181716,340.213431
398.219047,356.208475
357.240051,356.208475
354.192749,356.208475
401.193549,356.208475
327.218412,356.208475
408.142146,436.148198
352.213361,311.22313
341.233775,311.22313
277.217668,311.22313
267.233377,311.22313
283.191866,311.22313
311.186692,311.22313
325.202306,311.22313
341.197327,311.22313
355.212905,311.22313
361.169291,375.18497
349.169283,375.18497
347.153652,375.18497
419.174765,375.18497
417.195593,375.18497
373.169263,375.18497
279.233249,278.249211
373.187074,358.223756
407.157954,422.16885
469.174649,457.174604
365.04963,321.059821
351.07047,321.059821
347.075495,321.059821
357.036515,321.059821
466.062835,482.057769
481.073803,482.057769
323.123106,324.10707
325.091095,324.10707
325.091055,324.10707
339.087858,340.119434
404.08129,340.119434
370.09365,340.119434
400.115546,415.126463
374.136285,415.126463
430.089776,415.126463
377.10704,391.086193
393.065358,391.086193
358.129638,357.145665
311.165764,297.150029
325.181359,297.150029
299.165711,297.150029
311.129235,297.150029
345.134731,297.150029
407.081164,409.096895
424.107814,409.096895
439.107519,409.096895
409.060451,409.096895
439.143924,409.096895
467.102409,409.096895
451.143857,409.096895
427.107491,409.096895
411.076072,409.096895
341.186291,327.170572
315.160264,347.132383
314.1515,344.198473
376.188297,344.198473
299.165711,300.197352
301.181305,300.197352
348.182075,300.197352
314.176435,316.192158
332.187043,316.192158
301.181305,316.192158
303.160434,316.192158
307.19186,316.192158
330.171338,316.192158
346.166353,316.192158
333.182502,347.198204
376.188297,347.198204
321.182494,347.198204
395.182911,347.198204
481.118473,479.13925
521.149874,479.13925
465.123577,479.13925
513.144775,479.13925
497.105362,479.13925
273.186213,287.201915
303.196792,287.201915
332.187043,287.201915
259.170571,287.201915
287.165564,287.201915
289.181141,287.201915
335.186587,287.201915
397.198439,378.203814
380.183013,378.203814
352.188422,394.199048
379.188161,394.199048
368.183343,394.199048
426.188875,394.199048
366.167789,394.199048
348.218382,334.202679
364.213313,334.202679
294.171389,334.202679
320.186997,334.202679
378.192496,334.202679
292.155716,334.202679
333.171103,334.202679
319.191793,334.202679
353.179629,398.164773
413.128085,398.164773
399.148743,398.164773
372.112764,414.15974
405.159474,414.15974
374.128407,414.15974
323.223268,352.213361
378.229096,352.213361
394.223941,352.213361
364.213313,352.213361
397.198439,352.213361
352.176958,352.213361
337.202421,352.213361
323.223268,368.208372
338.197778,368.208372
397.198439,368.208372
384.203224,368.208372
350.197769,368.208372
326.161382,368.208372
338.161355,368.208372
295.228397,323.223268
387.185133,323.223268
337.202421,323.223268
381.228735,323.223268
494.186545,482.186512
418.224611,482.186512
482.150095,482.186512
466.20927,482.186512
433.137239,418.173949
483.153866,469.174649
339.217826,325.23865
373.223367,325.23865
353.233788,341.233775
313.202469,341.233775
299.186782,341.233775
341.197327,341.233775
479.19602,437.185434
485.169353,487.185078
391.234072,359.244245
329.197263,359.244245
351.07047,365.04963
307.044355,337.091404
307.117157,337.091404
311.075671,337.091404
323.075397,353.086047
339.106928,367.113063
363.055038,403.086309
369.098579,403.086309
422.091922,434.09197
433.107979,434.09197
453.086582,434.09197
475.08218,434.09197
423.123168,432.12349
417.112607,432.12349
464.095629,432.12349
362.070675,404.117672
404.08129,404.117672
370.129962,404.117672
438.123201,404.117672
340.155519,339.1715
411.193157,371.161882
342.171767,371.161882
341.11493,371.161882
400.151972,371.161882
389.172454,371.161882
423.133475,371.161882
434.157819,479.142935
464.132013,479.142935
463.147706,431.15793
432.141968,431.15793
418.126237,431.15793
416.147075,431.15793
329.17637,311.165764
416.172333,374.125326
422.11002,374.125326
418.115169,374.125326
391.126718,433.173752
405.142411,433.173752
342.171767,328.192554
340.203537,359.198087
359.161649,359.198087
319.166752,359.198087
350.197769,359.198087
400.18833,359.198087
346.166353,359.198087
391.187859,359.198087
364.188238,390.203977
376.188297,390.203977
379.188161,377.208927
422.19406,377.208927
377.172533,377.208927
349.202431,317.212679
365.19734,317.212679
396.203597,424.209719
426.188875,424.209719
422.19406,424.209719
382.162737,424.209719
308.187048,348.218382
393.203481,348.218382
364.213313,348.218382
349.202431,348.218382
435.152899,444.153178
416.147075,444.153178
414.177802,427.209496
426.177916,427.209496
493.139367,495.155084
337.23913,366.229226
398.219047,366.229226
371.24462,337.23913
353.216285,337.23913
473.169267,515.17982
497.169252,515.17982
387.239527,371.24462
403.234416,371.24462
401.255243,371.24462
399.239534,371.24462
403.234416,387.239527
401.255243,387.239527
359.208184,387.239527
399.239534,387.239527
401.255243,403.234416
461.239954,403.234416
403.198012,403.234416
347.092308,379.082103
363.087249,379.082103
423.156159,393.109115
371.088292,335.111577
381.13484,351.124233
480.061372,416.099481
374.088845,416.099481
418.078724,416.099481
401.088598,416.099481
435.094115,416.099481
414.120268,416.099481
418.115169,416.099481
400.104566,416.099481
460.089304,416.099481
403.067769,416.099481
374.052489,416.099481
398.088911,416.099481
496.056294,416.099481
401.17263,399.15692
384.193634,399.15692
384.145989,399.15692
369.109915,399.15692
