node_id,C,H,O,N,S,Cl,exp_mass,DBE,AImod,NOSC,O_C,H_C,N/C,S/C,Cl/C,DBE-O,DBE/C
337.079932,13,14,7,4,0,0,337.079932,9,0.272727273,0.923076923,0.538461538,1.076923077,0.307692308,0,0,2,0.692307692
357.059951,13,15,6,4,0,1,357.059951,8,0.166666667,0.692307692,0.461538462,1.153846154,0.307692308,0,0.076923077,2,0.615384615
259.12014,13,16,2,4,0,0,259.12014,8,0.375,0,0.153846154,1.230769231,0.307692308,0,0,6,0.615384615
293.125863,13,18,4,4,0,0,293.125863,7,0.142857143,0.153846154,0.307692308,1.384615385,0.307692308,0,0,3,0.538461538
332.063418,13,19,5,1,2,0,332.063418,5,-0.066666667,-0.153846154,0.384615385,1.461538462,0.076923077,0.153846154,0,0,0.384615385
305.079922,13,19,6,0,0,1,305.079922,4,0.1,-0.538461538,0.461538462,1.461538462,0,0,0.076923077,-2,0.307692308
235.145511,13,20,2,2,0,0,235.145511,5,0.2,-0.769230769,0.153846154,1.538461538,0.153846154,0,0,3,0.384615385
295.141627,13,20,4,4,0,0,295.141627,6,0,0,0.307692308,1.538461538,0.307692308,0,0,2,0.461538462
327.131623,13,20,6,4,0,0,327.131623,6,-0.166666667,0.307692308,0.461538462,1.538461538,0.307692308,0,0,0,0.461538462
384.070848,13,20,10,1,0,1,384.070848,4,-0.285714286,0.230769231,0.769230769,1.538461538,0.076923077,0,0.076923077,-6,0.307692308
315.122278,13,21,3,4,0,1,315.122278,5,-0.066666667,-0.230769231,0.230769231,1.615384615,0.307692308,0,0.076923077,2,0.384615385
350.109895,13,21,10,1,0,0,350.109895,4,-0.285714286,0.153846154,0.769230769,1.615384615,0.076923077,0,0,-6,0.307692308
371.075626,13,21,10,0,0,1,371.075626,3,-0.25,-0.076923077,0.769230769,1.615384615,0,0,0.076923077,-7,0.230769231
307.095596,13,21,6,0,0,1,307.095596,3,0,-0.692307692,0.461538462,1.615384615,0,0,0.076923077,-3,0.230769231
323.090167,13,21,7,0,0,1,323.090167,3,-0.052631579,-0.538461538,0.538461538,1.615384615,0,0,0.076923077,-4,0.230769231
355.08073,13,21,9,0,0,1,355.08073,3,-0.176470588,-0.230769231,0.692307692,1.615384615,0,0,0.076923077,-6,0.230769231
381.116136,13,22,11,2,0,0,381.116136,4,-0.636363636,0.461538462,0.846153846,1.692307692,0.153846154,0,0,-7,0.307692308
301.123174,13,22,4,2,1,0,301.123174,4,-0.125,-0.461538462,0.307692308,1.692307692,0.153846154,0.076923077,0,0,0.307692308
317.117844,13,22,5,2,1,0,317.117844,4,-0.2,-0.307692308,0.384615385,1.692307692,0.153846154,0.076923077,0,-1,0.307692308
385.081741,13,22,11,0,1,0,385.081741,3,-0.538461538,0.153846154,0.846153846,1.692307692,0,0.076923077,0,-8,0.230769231
389.085728,13,23,11,0,0,1,389.085728,2,-0.466666667,-0.076923077,0.846153846,1.769230769,0,0,0.076923077,-9,0.153846154
357.096151,13,23,9,0,0,1,357.096151,2,-0.294117647,-0.384615385,0.692307692,1.769230769,0,0,0.076923077,-7,0.153846154
388.101821,13,24,10,1,0,1,388.101821,2,-0.571428571,-0.076923077,0.769230769,1.846153846,0.076923077,0,0.076923077,-8,0.153846154
391.101685,13,25,11,0,0,1,391.101685,1,-0.6,-0.230769231,0.846153846,1.923076923,0,0,0.076923077,-10,0.076923077
327.121986,13,25,7,0,0,1,327.121986,1,-0.263157895,-0.846153846,0.538461538,1.923076923,0,0,0.076923077,-6,0.076923077
359.112024,13,25,9,0,0,1,359.112024,1,-0.411764706,-0.538461538,0.692307692,1.923076923,0,0,0.076923077,-8,0.076923077
390.11789,13,26,10,1,0,1,390.11789,1,-0.714285714,-0.230769231,0.769230769,2,0.076923077,0,0.076923077,-9,0.076923077
341.14451,13,26,10,0,0,0,341.14451,1,-0.5,-0.461538462,0.769230769,2,0,0,0,-9,0.076923077
348.994964,13,6,10,2,0,0,348.994964,12,0.833333333,1.538461538,0.769230769,0.461538462,0.153846154,0,0,2,0.923076923
313.022263,13,6,6,4,0,0,313.022263,13,1,1.384615385,0.461538462,0.461538462,0.307692308,0,0,7,1
351.010297,13,8,10,2,0,0,351.010297,11,0.666666667,1.384615385,0.769230769,0.615384615,0.153846154,0,0,1,0.846153846
263.011902,13,9,4,0,0,1,263.011902,9,0.636363636,-0.076923077,0.307692308,0.692307692,0,0,0.076923077,5,0.692307692
381.021097,14,10,11,2,0,0,381.021097,11,0.538461538,1.285714286,0.785714286,0.714285714,0.142857143,0,0,0,0.785714286
299.078814,14,12,4,4,0,0,299.078814,11,0.625,0.571428571,0.285714286,0.857142857,0.285714286,0,0,7,0.785714286
315.07379,14,12,5,4,0,0,315.07379,11,0.6,0.714285714,0.357142857,0.857142857,0.285714286,0,0,6,0.785714286
301.094489,14,14,4,4,0,0,301.094489,10,0.5,0.428571429,0.285714286,1,0.285714286,0,0,6,0.714285714
317.089513,14,14,5,4,0,0,317.089513,10,0.466666667,0.571428571,0.357142857,1,0.285714286,0,0,5,0.714285714
349.079178,14,14,7,4,0,0,349.079178,10,0.384615385,0.857142857,0.5,1,0.285714286,0,0,3,0.714285714
213.092091,14,14,2,0,0,0,213.092091,8,0.538461538,-0.714285714,0.142857143,1,0,0,0,6,0.571428571
297.05399,14,15,5,0,0,1,297.05399,7,0.391304348,-0.357142857,0.357142857,1.071428571,0,0,0.071428571,2,0.5
303.110205,14,16,4,4,0,0,303.110205,9,0.375,0.285714286,0.285714286,1.142857143,0.285714286,0,0,5,0.642857143
279.069889,14,16,4,0,1,0,279.069889,7,0.363636364,-0.428571429,0.285714286,1.142857143,0,0.071428571,0,3,0.5
322.087233,14,17,4,3,1,0,322.087233,8,0.25,0.142857143,0.285714286,1.214285714,0.214285714,0.071428571,0,4,0.571428571
338.080605,14,17,5,3,1,0,338.080605,8,0.2,0.285714286,0.357142857,1.214285714,0.214285714,0.071428571,0,3,0.571428571
369.10586,14,18,8,4,0,0,369.10586,8,0,0.714285714,0.571428571,1.285714286,0.285714286,0,0,0,0.571428571
333.074939,14,19,7,0,0,1,333.074939,5,0.142857143,-0.357142857,0.5,1.357142857,0,0,0.071428571,-2,0.357142857
375.103948,14,20,10,2,0,0,375.103948,6,-0.142857143,0.428571429,0.714285714,1.428571429,0.142857143,0,0,-4,0.428571429
307.141341,14,20,4,4,0,0,307.141341,7,0.125,0,0.285714286,1.428571429,0.285714286,0,0,3,0.5
371.121487,14,20,8,4,0,0,371.121487,7,-0.166666667,0.571428571,0.571428571,1.428571429,0.285714286,0,0,-1,0.5
278.151243,14,21,3,3,0,0,278.151243,6,0.157894737,-0.428571429,0.214285714,1.5,0.214285714,0,0,3,0.428571429
234.150144,14,21,2,1,0,0,234.150144,5,0.25,-1,0.142857143,1.5,0.071428571,0,0,3,0.357142857
330.084817,14,21,4,1,2,0,330.084817,5,0,-0.428571429,0.285714286,1.5,0.071428571,0.142857143,0,1,0.357142857
399.070921,14,21,11,0,0,1,399.070921,4,-0.176470588,0.071428571,0.785714286,1.5,0,0,0.071428571,-7,0.285714286
303.100382,14,21,5,0,0,1,303.100382,4,0.130434783,-0.785714286,0.357142857,1.5,0,0,0.071428571,-1,0.285714286
393.116262,14,22,11,2,0,0,393.116262,5,-0.384615385,0.428571429,0.785714286,1.571428571,0.142857143,0,0,-6,0.357142857
296.162106,14,23,4,3,0,0,296.162106,5,0,-0.428571429,0.285714286,1.642857143,0.214285714,0,0,1,0.357142857
